정류장번호,정류장명
DGB3600122100,내동삼거리
DGB3600122200,여천동(삼성캠퍼스방향)
DGB3600122300,여천동(유곡동방향)
DGB3600122400,여천동1(삼성캠퍼스방향)
DGB3600122500,여천동1(유곡동방향)
DGB3600122600,해오름아파트 건너
DGB3600122700,해오름아파트
DGB3600122800,중산동(육교앞)
DGB3600122900,삼주봉황4차종점 건너
DGB3600123000,현내리마을회관 앞
DGB3600123100,선화리(서울사료)
DGB3600123200,금구리(오목천)
DGB3600123300,도덕삼거리
DGB7001007100,적십자혈액원건너
DGB7001007200,수창공원앞(중구보건소건너)
DGB7001007300,중구보건소앞
DGB7001007400,대구콘서트하우스앞
DGB7001007500,경대사대부설고등학교앞
DGB7001007600,경북대학교치과병원
DGB7001007700,방천시장(김광석길)건너
DGB7001007800,방천시장(김광석길)앞
DGB7001007900,대백프라자앞
DGB7001008000,대봉성당
DGB7001008100,건들바위건너
DGB7001008200,건들바위앞
DGB7001008300,봉산가구골목(동편)
DGB7001008400,봉산가구골목(서편)
DGB7001008500,봉산육거리
DGB7001008600,청구타운앞
DGB7001008700,청구타운건너
DGB7001008800,청운맨션앞
DGB7001008900,청운맨션건너
DGB7001009000,청라국민체육센터앞
DGB7001009100,청라국민체육센터건너
DGB7001009200,대구맨션앞
DGB7001009300,대구맨션건너
DGB7001009400,삼덕교회
DGB7001009500,삼덕성당앞
DGB7001009600,국채보상운동기념공원
DGB7001009700,경북대학교병원건너
DGB7001009800,경북대학교병원앞
DGB7001009900,중구청건너
DGB7001010000,중구청앞
DGB7001010100,동인초등학교앞
DGB7001010200,동인초등학교건너
DGB7001010300,대구시동인청사앞
DGB7001010400,대구시동인청사건너
DGB7001010500,대구역건너
DGB7001010600,대구역앞
DGB7001010700,교동시장앞
DGB7001010800,태평상가건너
DGB7001010900,태평상가앞2
DGB7001011000,동인네거리1
DGB7001011100,동인네거리2
DGB7001011200,신천교1
DGB7001011300,신천교2
DGB7001011400,동인치안센터건너
DGB7001011500,동인치안센터앞
DGB7001011600,달성공원건너
DGB7001011700,2.28기념중앙공원건너2
DGB7001011800,반월당역(1번출구)2
DGB7001012000,성명여자중학교
DGB7001012200,대구콘서트하우스건너
DGB7001012300,2호선반월당역2
DGB7001012400,남문시장건너1
DGB7001012500,남산2동주민센터앞
DGB7001012600,매일신문사건너
DGB7001012700,태평상가앞1
DGB7001013500,매일신문사앞
DGB7001013700,약령시입구
DGB7001013800,청라언덕(신남)역(2번출구)
DGB7001013900,청라언덕(신남)역(8번출구)
DGB7011000100,불로전통시장앞
DGB7011000200,불로전통시장건너
DGB7011000300,불로동고분군앞
DGB7011000400,불로동고분군건너
DGB7011000900,봉무청구새들마을앞
DGB7011001000,봉무청구새들마을건너
DGB7011001100,파군재삼거리2
DGB7011001200,파군재삼거리1
DGB7011001300,공산동행정복지센터건너
DGB7011001400,공산동행정복지센터앞
DGB7011023300,백안교2
DGB7011023400,인산마을앞
DGB7011023500,인산마을건너
DGB7011023600,능성동입구앞
DGB7011023700,능성동입구건너
DGB7011023800,중마을(갓바위방향)
DGB7011023900,중마을(시내방향)
