정류장번호,정류장명
DGB3600055300,안촌입구
DGB3600055400,마곡(마곡방향)
DGB3600055600,마곡(자인방향)
DGB3600055800,연지입구(진량방향)
DGB3600055900,삼성볼파크
DGB3600056000,삼성볼파크 건너
DGB3600056200,진량황제A
DGB3600056400,진량황제A(진량방향)
DGB3600056500,마곡회관 건너
DGB3600056600,마곡회관
DGB3600056700,선화2리(진량방향)
DGB3600056800,동자지(진량방향)
DGB3600057300,황제리
DGB3600057400,골프장
DGB3600057500,골프장 건너
DGB3600057600,대원보건진료소 건너
DGB3600057700,대원보건진료소 앞
DGB3600057800,마곡리(마라곡마을건너)
DGB3600057900,마곡리(마라곡마을)
DGB3600058200,진량골프장2
DGB3690007480,국립칠곡 숲체원건너
DGB3690007490,가산2리(한뜸2)
DGB3690007500,국립칠곡 숲체원
DGB3690007510,순심중고등학교
DGB3690007520,왜관수도원
DGB3690007530,가산전원마을 입구
DGB3690007540,송정리(수정마을)
DGB3690007550,칠곡군농산물가공센터
DGB7001000100,대명시장앞
DGB7001000200,대명시장건너
DGB7001000300,계명대학교대명캠퍼스앞
DGB7001000400,계명대학교대명캠퍼스건너
DGB7001000500,중부소방서건너
DGB7001000600,중부소방서앞
DGB7001000700,대신센트럴자이
DGB7001000800,청라언덕(신남)역(1번출구)
DGB7001000900,엘디스리젠트호텔건너
DGB7001001000,엘디스리젠트호텔앞
DGB7001001100,현대백화점.동아쇼핑건너
DGB7001001300,봉산문화거리앞
DGB7001001400,2호선반월당역1
DGB7001001500,봉산문화거리건너
DGB7001001600,반월당역(2번출구)
DGB7001001700,반월당역(1번출구)1
DGB7001001800,남문시장건너2
DGB7001001900,남문시장앞
DGB7001002000,명덕역(6번출구)
DGB7001002100,명덕역(7번출구)
DGB7001002200,명덕네거리1
DGB7001002300,명덕네거리2
DGB7001002400,상수도사업본부건너
DGB7001002500,상수도사업본부
DGB7001002600,명덕초등학교앞
DGB7001002700,명덕초등학교건너
DGB7001002800,남산역(프린스호텔건너)
DGB7001002900,남산역건너(프린스호텔앞)
DGB7001003000,경북공고앞
DGB7001003100,경북공고건너
DGB7001003200,남산초등학교앞
DGB7001003300,남산초등학교건너
DGB7001003400,남산2동주민센터건너
DGB7001003500,남문아파트앞
DGB7001003600,대구향교앞
DGB7001003700,대구향교건너
DGB7001003800,약령시건너(동성로입구)
DGB7001004100,약령시앞
DGB7001004300,경상감영공원건너
DGB7001004600,경상감영공원앞
DGB7001004700,경진테크빌앞
DGB7001004800,대구역센트럴자이
DGB7001004900,성내3동행정복지센터입구
DGB7001005000,삼정빌딩앞
DGB7001005100,수창초등학교
DGB7001005200,달성공원앞
DGB7001005300,계명대학교 대구동산병원앞1
DGB7001005400,서문시장
DGB7001005500,계명대학교 대구동산병원앞2
DGB7001005600,대신동광명맨션앞
DGB7001005700,서문시장5지구앞
DGB7001005800,섬유회관앞
DGB7001005900,섬유회관건너1
DGB7001006000,섬유회관건너2
DGB7001006100,곽병원앞2
DGB7001006200,곽병원건너
DGB7001006300,곽병원앞1
DGB7001006400,만경관건너
DGB7001006500,만경관앞
DGB7001006600,CGV대구한일건너
DGB7001006700,CGV대구한일앞
DGB7001006800,2.28기념중앙공원앞
DGB7001006900,2.28기념중앙공원건너1
DGB7001007000,적십자혈액원앞
DGB3600058300,광석리(광석방향)
DGB3600058400,광석리1(가야방향)
DGB3600058600,현내삼거리(자인방향)
DGB3600058700,송림지(매남방향)
DGB3600059100,송림지(송림방향)
DGB3600059300,선화1리(골프장방향)
DGB3600059500,선화1리(진량방향)
DGB3600059800,금정사 건너
DGB3600060000,광석리2(다문방향)
DGB3600060100,하양초교 화성분교 건너
DGB3600060300,금정사
DGB3600060500,진량호반베르디움
DGB3600060600,진량보국웰리치A
DGB3600060700,진량보국웰리치A 건너
DGB3600060900,선안
DGB3600061000,선안(경산방향)
DGB3600061300,보인1리(매일유업)
DGB3600061400,신상중학교
DGB3600061500,신상중학교 건너
DGB3600061600,시민운동장삼거리 건너
DGB3600061700,시민운동장삼거리
DGB3600062000,다문리(마곡방향)
DGB3600062100,시문리
DGB3600062200,매남종점
DGB3600062300,매남종점(송림방향)
DGB3600062500,매남가든(송림방향)
DGB3600062600,매남가든
DGB3600063100,삼주봉황타운2차
DGB3600063200,삼주봉황타운1차
DGB3600063500,삼주봉황타운4차
DGB3600063700,다문초교
DGB3600063800,다문초교 건너
DGB3600064000,다문네거리(마곡방향)
DGB3600064100,다문네거리(다문방향)
DGB3600064200,다문네거리(아사방향)
DGB3600064300,다문네거리(마곡방향)
DGB3600064500,다문네거리(다문방향)
DGB3600064600,문천리(다문방향)
DGB3600064700,문천리(진량방향)
DGB3600064800,경일대정문 건너
DGB3600064900,다문리1(다문방향)
DGB3600065000,다문새마을금고(진량방향)
DGB3600065400,아사
DGB3600065500,아사(다문방향)
DGB3600065600,"다문리2(다문,평사방향)"
DGB3600065700,"다문리2(평사,진량방향)"
DGB3600065900,다문리(까치슈퍼건너)
DGB3600066000,다문리2(다문방향)
DGB3600066100,대곡2리(하양방향)
DGB3600066200,대곡2리
DGB3600066400,대곡1리(하양방향)
DGB3600066500,대곡1리(대곡방향)
DGB3600066600,다문리3(다문방향)
DGB3600067100,양기리회관(초원방향)
DGB3600067200,부림초교
DGB3600067300,양기리회관(하양방향)
DGB3600067400,진량에덴타운
DGB3600067500,양기리(초원방향)
DGB3600067600,진량초원A
DGB3600067800,양기리(하양방향)
DGB3600067900,진량초원A(경산방향)
DGB3600068100,대구대삼거리2(하양방향)
DGB3600068800,서사리(하양방향)
DGB3600069000,서사리(대곡방향)
DGB3600069100,평사1리
DGB3600069200,평사1리경로당(경산방향)
DGB3600069400,평사리1(대구대방향)
DGB3600069600,평사2리(경산방향)
DGB3600069700,평사리2(대구대방향)
DGB3600069900,평사리(미래산업건너)
DGB3600070200,대구대정문 건너
DGB3600070400,대구대종점 건너
DGB3600070600,도리리(대곡방향)
DGB3600070800,구.우시장
DGB3600070900,구.우시장 건너
DGB3600071000,하양시장 건너
DGB3600071100,새현대약국 건너
DGB3600071200,하양성당
DGB3600071300,하양성당 건너
DGB3600071400,하양코아루아파트
DGB3600071500,음양종점(경산방향)
DGB3600071700,음양종점
DGB3600071900,교리(와촌방향)
DGB3600072000,S-Oil주유소 건너
DGB3600072100,음양1리마을회관
DGB3600072300,음양1리
DGB3600072400,한사리(하양방향)
DGB3600072500,한사리(와촌방향)
DGB3600072700,하진지구대
DGB3600072800,음양1리(능성방향)
DGB3600072900,음양1리(경산방향)
DGB3600073200,음양2리(경산방향)
DGB3600073300,음양2리(능성방향)
DGB3600073500,강학1리(경산방향)
DGB3600073700,하양여중고 건너
DGB3600073900,하양여중고
DGB3600074000,소월(경산방향)
DGB3600074100,소월
DGB7011015900,방촌치안센터앞
DGB7011016000,방촌치안센터건너
DGB7011016100,방촌역(1번출구)
DGB7011016200,방촌역(2번출구)
DGB7011016300,방촌시장건너
DGB7011016400,방촌시장앞
DGB7011016500,퀸벨호텔건너
DGB7011016600,퀸벨호텔앞
DGB7011016700,해안역(1번출구)
DGB7011016800,해안역(3번출구)
DGB7011016900,홈플러스동촌점앞
DGB7011017000,홈플러스동촌점건너
DGB7011017100,동촌역(신길)1
DGB7011017200,동촌역(신길)2
DGB7011017300,동촌화성타운건너
DGB7011017400,동촌화성타운앞
DGB7011017500,율하교동편1
DGB7011017600,율하교동편2
DGB7011017700,반야월시장1
DGB7011017800,반야월시장2
DGB7011017900,대구파라곤프레스티지아파트
DGB7011018000,각산태영데시앙건너
DGB7011018100,안심지구대건너
DGB7011018200,경북교통
DGB7011018300,경북교통앞
DGB7011018400,반야월역(4번출구)1
DGB7011018500,반야월역(1번출구)
DGB7011018600,동부고교건너
DGB7011018700,동부고교앞
DGB7011018800,동부경찰서건너
DGB7011018900,동부경찰서앞
DGB7011019000,신서신일해피트리아파트
DGB7011019100,녹원맨션
DGB7011019200,송정삼거리3
DGB7011019300,송정삼거리4
DGB7011019400,안심역(4번출구)
DGB7011019500,안심역(5번출구)
DGB7011019600,대림육교1
DGB7011019700,대림육교2
DGB7011019800,태왕그린힐즈앞1
DGB7011019900,팔공3차보성타운후문
DGB7011020000,지묘초등학교앞
DGB7011020100,지묘초등학교건너
DGB7011020200,동북주유소앞
DGB7011020300,동북주유소건너
DGB7011020400,화전동1
DGB7011020500,농협방촌지점
DGB7011020600,방촌빌라
DGB7011020700,금사리하이빌APT앞
DGB7011020800,이안동대구아파트
DGB7011020900,신암건영캐스빌아파트
DGB7011021000,동대구초등학교앞
DGB7011021100,동대구초등학교건너
DGB7011021200,동대구역수화물취급소건너
DGB7011021300,동대구역수화물취급소앞
DGB7011021500,동양맨션앞
DGB7011021600,매골1
DGB7011021700,매골2
DGB7011021800,덕곡삼거리1
DGB7011021900,덕곡삼거리2
DGB7011022000,파계사(종점)
DGB7011022100,내동
DGB7011022200,미대동1
DGB7011022300,미대동2
DGB7011022400,구암동1
DGB7011022500,구암동2
DGB7011022600,미곡동1
DGB7011022700,미곡동2
DGB7011022800,백안삼거리1
DGB7011022900,백안삼거리2
DGB7011023000,공산초등학교건너
DGB7011023100,공산초등학교앞
DGB7011023200,백안교1
DGB3600074200,강학2리(능성방향)
DGB3600074300,강학2리(경산방향)
DGB3600074400,유창전원마을
DGB3600074500,불굴사
DGB3600074700,신한리
DGB3600075000,갓바위입구
DGB3600075100,갓바위종점(경산방향)
DGB3600075200,갓바위종점
DGB3600075300,신안교차로(경산방향)
DGB3600075400,신안교차로(갓바위방향)
DGB3600075500,약사암입구(경산방향)
DGB3600075700,약사암입구(갓바위방향)
DGB3600075800,원효암(경산방향)
DGB3600075900,예다인아파트
DGB3600076000,원효암(갓바위방향)
DGB3600076100,박사리(능성방향)
DGB3600076200,짜임A 건너
DGB3600076300,박사리(경산방향)
DGB3600076400,한동입구(경산방향)
DGB3600076500,한동입구(갓바위방향)
DGB3600076600,대한리경로당(경산방향)
DGB3600076700,계당1리(경산방향)
DGB3600076800,계당1리(상암방향)
DGB3600076900,대한리경로당(갓바위방향)
DGB3600077100,갓바위주차장(갓바위방향)
DGB3600077200,갓바위주차장(경산방향)
DGB3600077300,감나무식당 건너
DGB3600077400,선빌리지
DGB3600077500,선빌리지 건너
DGB3600077600,감나무식당
DGB3600077700,신천1리(경산방향)
DGB3600077800,신천1리(상암방향)
DGB3600077900,대동초교
DGB3600078000,대동초교 건너
DGB3600078100,상암입구
DGB3600078200,벽암사(갓바위방향)
DGB3600078300,벽암사(경산방향)
DGB3600078400,소월저수지
DGB3600078700,양곡리(능성방향)
DGB3600078800,양곡리(경산방향)
DGB3600078900,정각단입구(경산방향)
DGB3600079000,정각단입구(갓바위방향)
DGB3600079200,천성암(경산방향)
DGB3600079300,천성암(갓바위방향)
DGB3600079400,폭포입구(갓바위방향)
DGB3600079500,폭포입구(경산방향)
DGB3600079600,와촌면사무소
DGB3600079700,상암리1(상암방향)
DGB3600079800,상암리1(경산방향)
DGB3600079900,와촌면사무소 건너
DGB3600080000,방거리(경산방향)
DGB3600080100,방거리(능성방향)
DGB3600080200,상암1리(경산방향)
DGB3600080300,상암리2(상암방향)
DGB3600080400,소월입구(경산방향)
DGB3600080600,소월입구(능성방향)
DGB3600080700,와촌초교 건너
DGB3600080800,와촌초교
DGB3600080900,상암리3(상암방향)
DGB3600081100,상암리3(경산방향)
DGB3600081200,계전1리(영천방향)
DGB3600081300,계전1리(와촌방향)
DGB3600081400,소월2리(경산방향)
DGB3600081500,소월2리(갓바위방향)
DGB3600081600,동강리2(경산방향)
DGB3600081700,동강리2(갓바위방향)
DGB3600081800,상암리4(상암방향)
DGB3600081900,동강리1(갓바위방향)
DGB3600082000,동강삼거리(경산방향)
DGB3600082100,동강삼거리(갓바위방향)
DGB3600082300,상암리종점(경산방향)
DGB3600082500,상암리종점
DGB3600082600,계전리(와촌방향)
DGB3600082800,계전리(영천방향)
DGB3600083100,대구경계지점(경산방향)
DGB3600083200,대구경계지점건너
DGB3600083300,경산시청 건너
DGB3600083400,경산시청앞
DGB3600083500,임당호반베르디움 앞
DGB3600083600,중방성당 앞
DGB3600083700,사동휴먼시아2차 건너
DGB3600083800,사동휴먼시아2차 앞
DGB3600084300,사동고등학교 건너
DGB3600084400,사동고등학교
DGB3600084700,사동우방A 건너
DGB3600084800,사동우방A
DGB3600085100,백천큰집막창
DGB3600085200,백천큰집막창 건너
DGB3600085300,백천실내테니스장
DGB3600085400,백천실내테니스장 건너
DGB3600085500,당리리회관 건너
DGB3600085600,대한솔루션 건너
DGB3600086400,성림산업사
DGB3600086500,성림산업사 건너
DGB3600086600,환상교회
DGB3600086700,환상교회 건너
DGB3690000770,시립공원묘지건너
DGB3690000780,연화입구
DGB3690000800,가정
DGB3690000810,널동먹골
DGB3690000820,덕천
DGB3690000830,미실영청건너
DGB3690000840,상납실
DGB3690000850,옥포
DGB3690000860,하납실
DGB3690000870,기곡리건너
DGB3690000880,금호리자원기건너
DGB3690000890,금호리불동마을
DGB3690000900,금호리하신기건너
DGB3690000910,불동마을
DGB3690000920,태영건너
DGB3690000930,더벙골 건너
DGB3690000960,이언식당 앞
DGB3690000970,구장터건너
DGB3690000980,신동재입구삼거리건너
DGB3690001020,공단근로복지회관
DGB3690001030,금산리야대기
DGB3690001040,대구은행공단지점앞
DGB3690001050,대원 에스지아이
DGB3690001060,에스지
DGB3690001070,하이마트동부물류센터
DGB3690001080,한국토지공사입구
DGB3690001290,우방신천지타운
DGB3690001300,남율강촌건너
DGB3690001310,남율동산마을건너
DGB3690001320,남율1리
DGB3690001330,신나무골
DGB3690001340,원곡 도당입구
DGB3690001350,완정
DGB3690001360,공단삼거리(고궁)
DGB3690001370,삼청동육교
DGB3690001380,삼청리
DGB3690001400,용신공단입구
DGB3690001430,칠곡경찰서
DGB3690001440,오성아파트
DGB3690001450,복성4리건너
DGB3690001460,북삼초등학교앞
DGB3690001470,북삼중학교입구
DGB3690001500,강진삼거리
DGB3690001510,북삼현대아파트
DGB3690001530,약목주유소
DGB3690001610,북중리
DGB3690001620,율1리
DGB3690001630,율리
DGB3690001640,북삼읍지구대
DGB3690001650,인평초등학교
DGB3690001660,인평공원건너
DGB3690001670,인평공원서편 건너
DGB3690001680,북삼중학교건너
DGB3690001690,숭오3리(강진삼거리)
DGB3690001700,숭오리종점출발
DGB3690001760,신2리내실
DGB3690001770,신동역건너
DGB3690001780,신동중학교입구
DGB3690001940,금산리 강창
DGB3690001950,에스케이주유소
DGB3690002020,관호1리
DGB3690002030,관호초등학교입구
DGB3690002040,노석2리흰돌
DGB3690002050,노석1리(정미소)건너
DGB3690002060,노석1리
DGB3690002070,태우테크
DGB3690002080,행정2리나오테입구
DGB3690002100,순심여고입구
DGB3690002110,삼부쇼핑
DGB3690002190,칠곡보(창마)
DGB3690002200,포남1리(구)석적읍행정센터건너
DGB3690002210,포남2리
DGB3690002220,포남3리
DGB3690002230,진골 건너
DGB3690002240,중마
DGB3690002300,금남1리남산건너
DGB3690002310,금남2리
DGB3690002320,군립병원 건너
DGB3690002330,낙산1리가실건너
DGB3690002340,분도노인마을건너
DGB3690002350,금남1리(장미요양원)
DGB3690002360,동명초등학교건너
DGB3690002370,광명산업
DGB3690002380,달서교회건너
DGB3690002390,달서리마을회관건너
DGB3690002400,달서리 동원
DGB3690002410,망월사입구
DGB3690002420,백운리삼거리
DGB3690002430,백운리쉼터
DGB3690002440,삼보사건너
DGB3690002450,상지사거리입구
DGB3690002460,신동천주교회건너
DGB3690002470,신동초등학교
DGB3690002480,창평삼거리
DGB3690002490,청구공원입구
DGB3690002500,풀그린공장
DGB3690002510,황학교회건너
DGB3690002520,황학산장
DGB3690002560,가산1리입구
DGB3690002570,가산1리
DGB7011052800,신서롯데캐슬레전드서편건너
DGB7011052900,봉무공원앞
DGB7011053000,대구섬유박물관
DGB7011053100,효자강순항나무
DGB7011053200,파계사입구앞
DGB7011053300,파계사입구건너
DGB7011053400,율하남교1
DGB7011053700,양방마을건너
DGB7011053800,양방마을앞
DGB7011053900,능성동예비군훈련장건너
DGB7011054000,대원사건너
DGB7011054100,능성동(종점)1
DGB7011054200,능성동(종점)2
DGB7011054300,한국지능정보사회진흥원
DGB7011054400,혁신2근린공원
DGB7011054500,한걸마을앞
DGB7011054700,한걸마을건너
DGB7011054800,탱리마을앞
DGB7011054900,탱리마을건너
DGB7011055100,한국건강관리협회건너
DGB7011055200,신덕마을입구앞
DGB7011055400,신덕마을입구건너
DGB7011055600,혁신도시입구1
DGB7011055700,혁신도시입구2
DGB7011055800,서한이다음2차앞
DGB7011055900,서한이다음2차건너
DGB7011056000,대구혁신에듀포레아파트앞
DGB7011056100,대구혁신에듀포레아파트건너
DGB7011056200,새론중학교앞
DGB7011056300,새론중학교건너
DGB7011056400,한국부동산원앞2
DGB7011056500,신용보증기금앞
DGB7011056600,NH농협혁신도시지점앞
DGB7011056700,NH농협혁신도시지점건너
DGB7011056800,한국교육학술정보원앞
DGB7011056900,봉무초등학교앞
DGB7011057000,봉무초등학교건너
DGB7011057100,이시아폴리스롯데아울렛앞
DGB7011057200,이시아폴리스롯데아울렛건너
DGB7011057300,율원중학교앞
DGB7011057400,율원중학교건너
DGB7011057500,율금초등학교앞
DGB7011057600,율하체육공원앞
DGB7011057700,율하선수촌2단지앞
DGB7011057800,율금초등학교건너
DGB7011057900,숙천초교입구
DGB7011058000,혁신이노힐즈아파트앞
DGB7011058100,혁신이노힐즈아파트건너
DGB7011058200,숙천초교입구건너
DGB7011058300,한국한의학연구원앞
DGB7011058400,대한수목원앞
DGB7011058500,대한수목원건너
DGB7011058600,율하롯데캐슬탑클래스앞
DGB7011058700,율하롯데캐슬탑클래스건너
DGB7011058800,대구그린파워앞
DGB7011058900,대구그린파워건너
DGB7011059000,신무3교(하행)
DGB7011059100,신무3교(상행)
DGB7011059200,각산비나리공원앞
DGB7011059300,각산비나리공원건너
DGB7011059400,나불지앞
DGB7011059500,나불지건너
DGB7011059600,중앙교육연수원앞
DGB7011059700,한국가스공사앞
DGB7011059800,한국가스공사건너
DGB7011059900,한국뇌연구원앞
DGB7011060000,LH10단지아파트건너
DGB7011060100,LH10단지아파트앞
DGB7011060200,대구국제공항여객청사
DGB7011060300,율하천4교1
DGB7011066400,용수동당산2
DGB7011066500,송정2교
DGB7011066600,첨단임상시험센터앞
DGB7011066700,첨단임상시험센터건너
DGB7011066800,도장마을
DGB7011066900,국가정보자원관리원
DGB7021000100,농수산물도매시장건너
DGB7021000200,태전중앙시장건너
DGB7021000300,태전중앙시장앞
DGB7021000400,태전두성타운앞
DGB7021000500,태전두성타운건너
DGB7021000600,대구보건대학교앞2
DGB7021000700,대구보건대학교건너2
DGB7021000800,칠곡대백맨션앞
DGB7021000900,칠곡대백맨션건너
DGB7021001000,한국도로공사건너
DGB7021001100,한국도로공사앞
DGB7021001200,칠곡한라타운앞
DGB7021001300,칠곡한라타운건너
DGB7021001400,관음변전소2
DGB7021001500,관음변전소1
DGB7021001600,칠곡우방타운앞(종점)
DGB7021001700,대구과학대학교앞
DGB7021001800,대구과학대학교건너
DGB7021001900,대구보건대학교앞1
DGB7021002000,대구보건대학교건너1
DGB7021002300,태전삼거리1
DGB7021002400,태전삼거리2
DGB7021002500,대구보건대학교3
DGB7021002600,대구보건대학교4
DGB7021002700,칠곡서한맨션앞
DGB7021002800,칠곡한신아파트앞1
DGB7021002900,칠곡IC 1
DGB7021003000,칠곡IC 2
DGB7021003100,대중금속공업고등학교건너
DGB7021003200,대중금속공업고등학교앞
DGB7021003300,동호동앞(북구)
DGB7021003400,동호동건너(북구)
DGB7021003500,경상북도인재개발원2
DGB7021003600,경상북도농업인회관
DGB7021003700,경상북도인재개발원1
DGB7021003800,경북농업기술원앞
DGB7021004000,매천중고등학교건너
DGB7021004100,매천중고등학교앞
DGB7021004200,대구병원앞
DGB7021004300,두성파크아파트앞
DGB7021004400,태전역1
DGB7021004500,대구과학대학교1
DGB7021004600,대구과학대학교2
DGB7021004700,대구은행칠곡지점건너
DGB7021004800,대구은행칠곡지점앞
DGB7021004900,칠곡동화아파트건너
DGB7021005000,칠곡동화아파트앞
DGB7021005100,칠곡시장앞
DGB7021005200,칠곡시장건너
DGB7021005300,대구칠곡초등학교앞
DGB7021005400,칠곡중학교앞(칠곡향교앞)
DGB7021005500,칠곡중학교건너(칠곡향교건너)
DGB7021005600,SD아이프라임강북아파트
DGB7021005700,대천초등학교건너
DGB7021005800,대천초등학교앞
DGB7021005900,럭키아파트건너
DGB7021006000,럭키아파트앞
DGB7021006100,한양산호아파트앞
DGB7021006200,한양공작맨션앞
DGB7021006300,한양공작맨션건너
DGB7021006400,한양코스모스아파트앞
DGB7021006500,한양코스모스아파트건너
DGB7021006600,칠곡에덴타운건너
DGB7021006700,칠곡에덴타운앞
DGB7021021100,산격중학교앞
DGB7021021200,산격중학교건너
DGB7021021400,상수도사업본부시설관리소건너
DGB7021021500,상수도사업본부시설관리소앞
DGB7021021600,대원유치원앞
DGB7021021700,대원유치원건너
DGB7021021800,산격초등학교건너
DGB7021021900,산격초등학교앞
DGB7021022000,산격4동행정복지센터앞
DGB7021022100,산격4동행정복지센터건너
DGB7021022200,경북대학교체육센터건너2
DGB7021022300,경북대체육센터앞
DGB7021022400,경북대학교서문건너
DGB7021022500,경북대학교서문앞
DGB7021022600,산격청구맨션앞
DGB7021022700,대구시산격청사건너2
DGB7021022800,실내체육관건너
DGB7021022900,실내체육관앞
DGB7021023000,CBS방송국건너
DGB7021023100,CBS방송국앞
DGB7021023200,오뚜기물류센터
DGB7021023300,엑스코앞
DGB7021023400,동침산네거리
DGB7021023500,북구선거관리위원회건너
DGB7021023600,북구선거관리위원회앞
DGB7021023700,경대교앞
DGB7021023800,경대교건너
DGB7021023900,새동네아파트건너
DGB7021024000,새동네아파트앞
DGB7021024100,칠성시장(전자상가앞)
DGB7021024200,칠성시장(전자상가건너)
DGB7021024300,칠성시장(농협앞)
DGB7021024400,칠성시장(농협건너)
DGB7021024500,칠성꽃도매시장앞
DGB7021024600,칠성시장건너
DGB7021024700,칠성시장앞1
DGB7021024800,농협중앙회앞
DGB7021025000,강남약국건너
DGB7021025100,동대구시장건너
DGB7021025300,동대구시장앞
DGB7021025400,대일아파트건너
DGB7021025500,대일아파트앞
DGB7021025700,경북대체육센터건너
DGB7021025800,경북대학교북문앞
DGB7021025900,경북대학교북문건너
DGB7021026000,복현우체국앞
DGB7021026100,복현우체국건너
DGB7021026200,복현오거리2
DGB7021026400,건영아파트건너
DGB7021026500,복현대백맨션앞
DGB7021026600,복현대백맨션건너
DGB7021026700,복현오거리3
DGB7021026800,북중학교앞
DGB7021026900,복현장미맨션앞
DGB7021027000,명문세가APT앞
DGB7021027100,명문세가APT건너
DGB7021027200,영진전문대학교정문앞
DGB7021027300,영진전문대학교정문건너
DGB7021027400,복현서한2차아파트
DGB7021027500,복현우방아파트
DGB7021027600,칠곡2차영남타운건너
DGB7021027700,칠곡2차영남타운앞
DGB7021027800,칠곡3차화성타운3
DGB7021027900,칠곡3차화성타운1
DGB7021028000,대구우편집중국(동편)
DGB7021028100,동원약품
DGB7021028200,성화여고건너
DGB7021028300,성화여고앞
DGB7021028400,경명여고앞
DGB7021044500,칠곡화성타운앞2
DGB7021044600,함지초등학교건너
DGB7021044700,함지초등학교앞
DGB7021044800,관음중학교(북편)
DGB7021044900,관음동행정복지센터앞
DGB7021045000,교동초등학교앞
DGB7021045100,팔달초등학교
DGB7021045200,칠곡경대병원역
DGB7021045600,성보교통
DGB7021046300,한양산호아파트건너
DGB7021046500,매천초교(매천역)2
DGB7021046600,칠곡그린파크2
DGB7021047000,강북중학교앞
DGB7021047100,유통단지회차지
DGB7021047200,매천시장지하차도
DGB7021047500,북대구초등학교건너
DGB7021047600,전기재료관2
DGB7021047700,북대구초등학교앞
DGB7021047800,산격119안전센터(엑스코)
DGB7021047900,중소기업관건너
DGB7021048000,태왕아너스복현건너
DGB7021048100,태왕아너스복현앞
DGB7021048300,팔거교
DGB7021048400,칠곡경북대병원정문건너
DGB7021048500,팔달역2
DGB7021048600,도시철도대구역건너
DGB7021048700,칠곡경북대병원정문앞
DGB7021048800,강북소방서앞
DGB7021048900,칠곡그린빌6단지건너
DGB7021049000,칠곡그린빌6단지앞
DGB7021049200,학정청아람1
DGB7021049400,무태조야동연경분소2
DGB7021049500,유통단지회차지2
DGB7021049600,매천대교1
DGB7021049700,무태교
DGB7021049800,동서변월드메르디앙아파트
DGB7021050000,북구어울아트센터앞
DGB7021050100,부영5단지
DGB7021050200,학정청아람2
DGB7021050300,대구칠곡초등학교건너
DGB7021050400,칠곡경북대병원건너(50사단)
DGB7021050500,칠곡청구타운건너
DGB7021050700,민들레아파트후문앞
DGB7021050800,민들레아파트후문건너
DGB7021050900,팔거역3
DGB7021051000,팔거역4
DGB7021051100,영남네오빌건너
DGB7021051200,영남네오빌앞
DGB7021051300,칠성고가도로하단
DGB7021051400,경북농업기술원건너
DGB7021051500,도남지
DGB7021051700,복현성모약국앞
DGB7021051800,대구삼성창조캠퍼스2
DGB7021051900,대구삼성창조캠퍼스1
DGB7021052000,운암지공원2
DGB7021052100,칠성시장(양친회신협)
DGB7021052400,문주마을앞
DGB7021052500,장태실마을건너
DGB7021052600,장태실마을앞
DGB7021052700,문주마을건너
DGB7021052900,동침산네거리2
DGB7021053100,칠곡경북대병원
DGB7021053200,칠곡경북대병원후문앞
DGB7021053300,매천화성파크드림
DGB7021053400,매천고교
DGB7021053500,태전휴먼시아
DGB7021053600,매천센트럴파크앞
DGB7021053700,농산물도매시장건너
DGB7021053800,농산물도매시장앞
DGB7021061700,연경1공영주차장앞
DGB7021061800,한라하우젠트건너
DGB7021061900,북구 동호동(종점)2(서리지입구)
DGB7021062000,북구 동호동(종점)1
DGB7021062100,연경천년나무1단지앞
DGB7021062200,연경천년나무1단지건너
DGB7021062300,칠곡경대병원역건너2
DGB7021062400,이곡마을건너
DGB7021062500,연경동화아이위시앞
DGB7021062600,연경동종점1
DGB7021062700,연경초등학교앞
DGB7021062800,연경초등학교건너
DGB7021062900,연경우방아이유쉘앞
DGB7021063000,연경금성백조예미지앞
DGB7021063100,도덕마을
DGB7021063200,연경숲아파트앞
DGB7021063201,연경숲아파트건너
DGB7021063300,무태조야동연경분소3
DGB7021063400,연경대광로제비앙앞
DGB7021063500,연경11
DGB7021063501,연경12
DGB7021063600,대중금속공업고등학교3
DGB7021063700,대구보건대학교5
DGB7021063800,도남5
DGB7021063801,도남6
DGB7021063802,도남3
DGB7021063803,도남4
DGB7021063804,도남1
DGB7021063805,도남2
DGB7021063900,무태조야동행정복지센터건너3
DGB7021064000,대구국제고등학교앞
DGB7021064100,대구국제고등학교건너
DGB7021064200,도남11
DGB7021064300,도남12
DGB7021064400,도남13
DGB7021064500,도남14
DGB7021064600,연경동종점2
DGB7021064700,대구지식산업센터앞
DGB7021064800,동호마을건너
DGB7021064900,동호마을앞
DGB7021065000,도남7
DGB7021065100,도남8
DGB7021065200,도남9
DGB7021065300,도남10
DGB7031000100,대구과학기술고등학교앞
DGB7031000200,내당코오롱아파트앞
DGB7031000300,내당코오롱아파트건너
DGB7031000400,내당광명아파트
DGB7031000500,중리광명맨션건너
DGB7031000600,중리광명맨션앞
DGB7031000700,퀸스로드건너(동편)
DGB7031000800,퀸스로드앞(동편)
DGB7031000900,상중이동행정복지센터건너
DGB7031001000,상중이동행정복지센터앞
DGB7031001100,한국섬유개발연구원건너
DGB7031001200,한국섬유개발연구원앞
DGB7031001300,중리롯데캐슬앞
DGB7031001400,중리시장앞
DGB7031001500,서구문화회관건너
DGB7031001600,서구문화회관앞
DGB7031001700,서구청소년수련관건너
DGB7031001800,서대구KTX영무예다음앞
DGB7031001900,서대구KTX영무예다음건너
